tweet,id,date,time,username,replies_count,retweets_count,likes_count,tdatetime
Renewable energy is critical to the sustainability of our economy and the health of our environment. @KIUC has been leading the way with over 50% renewable energy now with a real shot at getting to over 80% in a few more years. Mahalo for all your hard work! pic.twitter.com/OCEDfPmy9s,1123331738367877121,2019-04-30,21:02:11,repedcase,0,1,4,2019-04-30 21:02:11
Congratulating @Iolani_School National Science Bowl team which represented Hawai‘i well at the national finals in DC this weekend. Mahalo for your hard work and leading the next generation of excellence in science! pic.twitter.com/WYDEASwbW6,1122995549672751104,2019-04-29,22:46:17,repedcase,0,4,12,2019-04-29 22:46:17
With Congressional Minister Kimitake Nakamura of Japan’s Embassy to the U.S. on issues of shared importance to our nations. Our goal to maintain a free and open Indo-Pacific for all rests on a strong U.S.-Japan alliance. @JapanEmbDC pic.twitter.com/ZZGP5qNTfn,1122992931558834177,2019-04-29,22:35:53,repedcase,0,3,10,2019-04-29 22:35:53
"Home for a day from Appropriations delegation to Asia before heading back to DC. We paid our respects at Punchbowl and USS Arizona and briefed Hawai’i defense and veterans needs with the military and colleagues. Lots of progress, but a whole bunch still to do. pic.twitter.com/1uZ7yMYKY3",1122336702784098304,2019-04-28,03:08:16,repedcase,0,2,4,2019-04-28 03:08:16
"In Philippines with #Approps delegation to review our alliance & pay respects to 17K buried & 36K missing WWII veterans @ Manila American Cemetery & Memorial, & 4K veterans @ Clark Veterans Cemetery from Spanish-American to Gulf Wars. We will not forget you. pic.twitter.com/vCheV3yc3T",1121975823219617792,2019-04-27,03:14:16,repedcase,0,2,3,2019-04-27 03:14:16
"In Singapore with the bipartisan Appropriations delegation to Asia reviewing especially defense issues. We met with Prime Minister Lee Hsien Loong and our Parliament colleagues, a critical partner and friend. pic.twitter.com/Evn9VyEmQK",1121476383245340672,2019-04-25,18:09:40,repedcase,0,1,2,2019-04-25 18:09:40
"Aloha #EarthDay, the birthday of the modern environmental movement. Proud to have voted for a historic public lands package, held months of hearings on climate change and cosponsored H.R. 9, the Climate Action Now Act, which restores our commitment to the #ParisAgreement.",1120452350748053504,2019-04-22,22:20:32,repedcase,1,4,12,2019-04-22 22:20:32
Beautiful sunrise service at Punchbowl. Happy Easter! pic.twitter.com/7xcDeu8JnU,1120036396960366592,2019-04-21,18:47:40,repedcase,0,2,11,2019-04-21 18:47:40
"I am so proud to join my colleagues from all across Hawai’i and the Pacific at our State Capitol in celebrating the 5th Anniversary of the Aloha+ Challenge, our world-leading island solutions for international sustainable development. pic.twitter.com/EyvgXlU5Ov",1119096143336493056,2019-04-19,04:31:27,repedcase,0,3,14,2019-04-19 04:31:27
"Evidence of obstruction which normally may well have resulted in prosecution. This cannot be the end of it; the stakes for trust in our elections, checks and balances and the rule of law are too high.",1119033871914405888,2019-04-19,00:24:00,repedcase,2,3,11,2019-04-19 00:24:00
Here’s Mueller report:  https://bit.ly/2vbycyT . Still heavily redacted/what more don’t we know? Difficult but required reading. Massive Russian interference in 2016 elections with too many part of it or turning a blind eye. pic.twitter.com/3z3DEGUOhq,1119033867665539072,2019-04-19,00:23:59,repedcase,3,4,7,2019-04-19 00:23:59
Hale Ho’ola Hou/House of New Life on the frontlines of community health at the Kalihi-Palama Community Center  http://kphc.org  pic.twitter.com/5HuQ7Yf39S,1118942021639528448,2019-04-18,18:19:01,repedcase,0,2,2,2019-04-18 18:19:01
A busy and productive first 100 days in Congress by the numbers. But that’s all pau now; gotta ramp it even more in the next 100. #100Days pic.twitter.com/bRzPEzu7bT,1118627007317856258,2019-04-17,21:27:16,repedcase,0,3,4,2019-04-17 21:27:16
Catching up on the Pacific Missile Range Facility on Kaua’i— an essential part of our national defense and the Hawai’i military and the largest private employer on Kaua’i. Big mahalo to CO Captain Vinnie Johnson and team. pic.twitter.com/VVP4X4VQ9r,1118313054813339648,2019-04-17,00:39:44,repedcase,0,1,5,2019-04-17 00:39:44
Honored to meet with leaders of the United Korean Association of Hawaiʻi and Korean Freedom Federation on issues of concern to our great Korean-American community. pic.twitter.com/ZioVFgJmZD,1117945625650159617,2019-04-16,00:19:42,repedcase,2,1,3,2019-04-16 00:19:42
Early start on full week at home; district office view a little different from Capitol Hill; why do aloha shirts feel so much better than coat-and-tie? pic.twitter.com/bQFNrCPjBC,1117851451143929856,2019-04-15,18:05:29,repedcase,0,1,4,2019-04-15 18:05:29
Heading home for weeklong district work period and desperate for some local grindz! Which should I get first when I land HNL?,1117114639039516672,2019-04-13,17:17:39,repedcase,1,1,1,2019-04-13 17:17:39
"Check out this great five-minute video from my @HouseDemocrats Class of 2018 with a quick clip from each of us on one big accomplishment in our first 100 days. Such an amazing class of commitment, talent and diversity, and really proud to be a part of it. https://twitter.com/RepUnderwood/status/1116736292040138754 …",1116849950724435969,2019-04-12,23:45:52,repedcase,0,3,7,2019-04-12 23:45:52
"Marking a very full and productive first #100Days in office, capped in DC by passage of HR1, the #ForThePeople Act, and back home by talk stories and other outreach across district; now for the next 100!",1116767282703818753,2019-04-12,18:17:23,repedcase,0,2,8,2019-04-12 18:17:23
"Of these accomplishments in the first 100 days of this Congress, which one is most important to you?",1116447709479743508,2019-04-11,21:07:31,repedcase,1,2,3,2019-04-11 21:07:31
