Handle,Start,End
repmcgovern,11/1/18,Present
repyvetteclarke,11/1/18,Present
repmckinley,11/1/18,Present
repjeffduncan,11/1/18,Present
homelandgop,11/1/18,Present
repkarenbass,11/1/18,Present
repwalberg,11/1/18,Present
rephartzler,11/1/18,Present
repstevechabot,11/1/18,Present
repbillflores,11/1/18,Present
repmobrooks,11/1/18,Present
sengarypeters,11/1/18,Present
normajtorres,11/1/18,Present
desjarlaistn04,11/1/18,Present
sencorygardner,11/1/18,Present
repchuck,11/1/18,Present
repbobgibbs,11/1/18,Present
replarrybucshon,11/1/18,Present
austinscottga08,11/1/18,Present
houseaggop,11/1/18,Present
rep_stevewomack,11/1/18,Present
sen_joemanchin,11/1/18,Present
sentoddyoung,11/1/18,Present
repmgriffith,11/1/18,Present
repwilson,11/1/18,Present
rephuizenga,11/1/18,Present
justinamash,11/1/18,Present
senronjohnson,11/1/18,Present
reprickcrawford,11/1/18,Present
usrepkeating,11/1/18,Present
joaquincastrotx,11/1/18,Present
repdavid,11/1/18,Present
senatorlankford,11/1/18,Present
houseadmngop,11/1/18,Present
repmartharoby,11/1/18,Present
senatorbennet,11/1/18,Present
nitalowey,11/1/18,Present
sentoomey,11/1/18,Present
repkinzinger,11/1/18,Present
senatortimscott,11/1/18,Present
randpaul,11/1/18,Present
repbilljohnson,11/1/18,Present
repstevestivers,11/1/18,Present
repcuellar,11/1/18,Present
senjohnbarrasso,11/1/18,Present
repandrecarson,11/1/18,Present
repbenmcadams,11/1/18,Present
repvisclosky,11/1/18,Present
sencapito,11/1/18,Present
repjudychu,11/1/18,Present
reptomgraves,11/1/18,Present
whipclyburn,11/1/18,Present
timkaine,11/1/18,Present
senbobcasey,11/1/18,Present
repdavidscott,11/1/18,Present
repebj,11/1/18,Present
nydiavelazquez,11/1/18,Present
repeliotengel,11/1/18,Present
repcleaver,11/1/18,Present
repcohen,11/1/18,Present
bobbyscott,11/1/18,Present
repkaygranger,11/1/18,Present
gracenapolitano,11/1/18,Present
repalgreen,11/1/18,Present
repdavideprice,11/1/18,Present
replloyddoggett,11/1/18,Present
repmarciafudge,11/1/18,Present
housebudgetdems,11/1/18,Present
chrismurphyct,11/1/18,Present
rosadelauro,11/1/18,Present
senrickscott,11/1/18,Present
repfredupton,11/1/18,Present
senatorcantwell,11/1/18,Present
jecdems,11/1/18,Present
housecommerce,11/1/18,Present
repronkind,11/1/18,Present
joecrowleyny,11/1/18,Present
senatorshaheen,11/1/18,Present
jecrepublicans,11/1/18,Present
senatorcardin,11/1/18,Present
maziehirono,11/1/18,Present
repdwightevans,11/1/18,Present
repgaramendi,11/1/18,Present
senmikelee,11/1/18,Present
repjoecourtney,11/1/18,Present
reppaultonko,11/1/18,Present
benniegthompson,11/1/18,Present
jacksonleetx18,11/1/18,Present
gerryconnolly,11/1/18,Present
senatorisakson,11/1/18,Present
rulesreps,11/1/18,Present
senalexander,11/1/18,Present
senstabenow,11/1/18,Present
robert_aderholt,11/1/18,Present
congmikesimpson,11/1/18,Present
houseforeigngop,11/1/18,Present
senpatroberts,11/1/18,Present
billpascrell,11/1/18,Present
hascdemocrats,11/1/18,Present
senbobcorker,11/1/18,Present
houseforeign,11/1/18,Present
senatortomudall,11/1/18,Present
repadamsmith,11/1/18,Present
repmikequigley,11/1/18,Present
drphilroe,11/1/18,Present
repmiketurner,11/1/18,Present
repjohnlarson,11/1/18,Present
repmcclintock,11/1/18,Present
stevekingia,11/1/18,Present
brianschatz,11/1/18,Present
sensherrodbrown,11/1/18,Present
financialcmte,11/1/18,Present
repsmucker,11/1/18,Present
repjerrynadler,11/1/18,Present
usrepmikedoyle,11/1/18,Present
robinlynnekelly,11/1/18,Present
dorismatsui,11/1/18,Present
mariodb,11/1/18,Present
repdonyoung,11/1/18,Present
repmaxinewaters,11/1/18,Present
transportgop,11/1/18,Present
repmikerogersal,11/1/18,Present
repbrianhiggins,11/1/18,Present
repjoseserrano,11/1/18,Present
repgregwalden,11/1/18,Present
frankpallone,11/1/18,Present
jahimes,11/1/18,Present
waysmeanscmte,11/1/18,Present
oversightdems,11/1/18,Present
energycommerce,11/1/18,Present
appropsdems,11/1/18,Present
bradsherman,11/1/18,Present
repadamschiff,11/1/18,Present
repjohnlewis,11/1/18,Present
sensanders,11/1/18,Present
repraulgrijalva,11/1/18,Present
repdianadegette,11/1/18,Present
patrickmchenry,11/1/18,Present
repwalterjones,11/1/18,Present
repmccaul,11/1/18,Present
repgusbilirakis,11/1/18,Present
congbillposey,11/1/18,Present
rephankjohnson,11/1/18,Present
janschakowsky,11/1/18,Present
repkenmarchant,11/1/18,Present
eleanornorton,11/1/18,Present
davidcicilline,11/1/18,Present
tomcoleok04,11/1/18,Present
housesciencegop,11/1/18,Present
repgregorymeeks,11/1/18,Present
repgwenmoore,11/1/18,Present
kencalvert,11/1/18,Present
repjimcooper,11/1/18,Present
replouiegohmert,11/1/18,Present
housescience,11/1/18,Present
senamyklobuchar,11/1/18,Present
leaderhoyer,11/1/18,Present
senmarkey,11/1/18,Present
royblunt,11/1/18,Present
senatorburr,11/1/18,Present
senshelby,11/1/18,Present
repperlmutter,11/1/18,Present
repschrader,11/1/18,Present
vernbuchanan,11/1/18,Present
hascrepublicans,11/1/18,Present
reppeteolson,11/1/18,Present
peterroskam,11/1/18,Present
repkevinbrady,11/1/18,Present
gopleader,11/1/18,Present
senatorcollins,11/1/18,Present
congressmangt,11/1/18,Present
senrobportman,11/1/18,Present
jimlangevin,11/1/18,Present
jefffortenberry,11/1/18,Present
repscottperry,11/1/18,Present
repsires,11/1/18,Present
senatormenendez,11/1/18,Present
jerrymoran,11/1/18,Present
reppeteking,11/1/18,Present
jim_jordan,11/1/18,Present
chrisvanhollen,11/1/18,Present
lisamurkowski,11/1/18,Present
judgecarter,11/1/18,Present
cathymcmorris,11/1/18,Present
senschumer,11/1/18,Present
edlaborgop,11/1/18,Present
virginiafoxx,11/1/18,Present
repblumenauer,11/1/18,Present
speakerpelosi,11/1/18,Present
michaelcburgess,11/1/18,Present
marcorubio,11/1/18,Present
repshimkus,11/1/18,Present
boblatta,11/1/18,Present
jaredpolis,11/1/18,Present
robwittman,11/1/18,Present
chriscoons,11/1/18,Present
chelliepingree,11/1/18,Present
senategop,11/1/18,Present
johncornyn,11/1/18,Present
waysandmeansgop,11/1/18,Present
