tweet,id,date,time,username,replies_count,retweets_count,likes_count,tdatetime
Thank you to @RepSpeier & other members of Congress for coming to McAllen to shed light on the border crisis. Now we have a choice. We can continue down this dark path or we can create a bipartisan immigration plan that upholds our values. https://www.themonitor.com/2019/07/14/congressional-group-visits-border-patrol-respite-center/ …,1150804765829476352,2019-07-15,16:30:11,repgonzalez,11,2,7,2019-07-15 16:30:11
UPDATE: Looking forward to discussing immigration and other issues tonight at 8:00 CT / 9:00 ET on @MSNBC with @GeoffRBennett.,1150565671446687749,2019-07-15,00:40:07,repgonzalez,4,3,8,2019-07-15 00:40:07
"Tonight, I’ll be on @MSNBC with @GeoffRBennett at 8:30 PM CT/ 9:30 PM ET to discuss immigration and current issues our nation is facing. Be sure to tune in!",1150507988291133441,2019-07-14,20:50:54,repgonzalez,5,6,14,2019-07-14 20:50:54
"The #CARIDAD Act allows outside groups to donate clothes, toothbrushes, supplies & aid to  federal detention facilities. Current US law prohibits outside donations. All people no matter who they are or where they come from deserve decency & respect. https://www.themonitor.com/2019/07/11/gonzalez-introduces-legislation-allow-donations-detention-facilities/ …",1149443684771016704,2019-07-11,22:21:44,repgonzalez,1,12,23,2019-07-11 22:21:44
Great to see @comcast also lead the charge on the #robocall scourge. https://corporate.comcast.com/press/releases/att-comcast-announce-anti-robocalling-fraud-milestone-believed-to-be-nations-first …,1149432750014943232,2019-07-11,21:38:17,repgonzalez,0,0,0,2019-07-11 21:38:17
"Today, I introduced the CARIDAD Act to allow the US government to accept donations for detained kids & families. All humans, no matter who they are, have the right to be treated with decency & respect.

 https://gonzalez.house.gov/media/press-releases/congressman-gonzalez-introduces-caridad-act-allow-donations-children-and … pic.twitter.com/Z9ALUQc6l2",1149343042085761024,2019-07-11,15:41:49,repgonzalez,3,15,36,2019-07-11 15:41:49
"Yesterday, I had the honor to participate on a @HillVets panel w/ @VetAffairsDems Chairman @RepMarkTakano to discuss the issues our #veterans face when they return home from service. I will always remain committed to our vets & let’s bring our patriots home. pic.twitter.com/hnNaybpAjf",1149336212542578688,2019-07-11,15:14:41,repgonzalez,0,2,3,2019-07-11 15:14:41
Thanks to @ATT for taking the charge in the #wireless industry to block #robocalls for consumers. These annoying & often malicious calls need to be stopped. I hope to see more like this from our nation’s carriers. @sprint @TMobile @verizon @comcast https://www.cnn.com/2019/07/10/tech/att-spam-call-blocking/index.html?utm_source=CNN+Five+Things …,1149311615453601792,2019-07-11,13:36:56,repgonzalez,1,6,12,2019-07-11 13:36:56
The Trump Administration & @TXAG Ken Paxton are leading the charge to eliminate protections for millions of people with pre-existing conditions & access to affordable healthcare. I promise to do everything in my power to #ProtectOurCare for #TX15. #TXvUS https://www.cnn.com/2019/07/09/politics/obamacare-appeal-arguments-texas-california/index.html …,1148721011250139138,2019-07-09,22:30:05,repgonzalez,7,25,46,2019-07-09 22:30:05
"Ross Perot lived the American dream as an entrepreneur & dedicated his life to making our country & world a better place. He leaves behind a legacy of duty & service that should be an example to all Americans. My deepest condolences to the Perot family.

 https://www.nytimes.com/2019/07/09/us/politics/ross-perot-death.html … pic.twitter.com/YrJeFgnPUy",1148697161367982080,2019-07-09,20:55:19,repgonzalez,0,0,5,2019-07-09 20:55:19
"Today the #14thAmendment was ratified in 1868 granting citizenship to former slaves in the US. This amendment was a catalyst for civil rights & fuels the rallying cry for marginalized groups today. We must continue to fight for equality for all Americans.

 https://constitutioncenter.org/interactive-constitution/amendments/amendment-xiv … pic.twitter.com/cP89RUqURQ",1148592880623247360,2019-07-09,14:00:57,repgonzalez,1,1,1,2019-07-09 14:00:57
#Robocalls are the plague of the digital age and need to be stopped. That’s why I’m proud to cosponsor the Stopping Bad Robocalls Act. Thank you @RepPallone & @repgregwalden for your leadership in helping stop these illegal calls. https://www.washingtonpost.com/technology/2019/06/20/house-lawmakers-unveil-bipartisan-anti-robocall-bill/?utm_term=.aabc28efffcd …,1148290903678824449,2019-07-08,18:01:00,repgonzalez,0,2,9,2019-07-08 18:01:00
Congrats @USWNT on your #FIFAWWC victory!! Now it’s time we pay you for your worth! #EqualPayForEqualWork,1147919142441410561,2019-07-07,17:23:45,repgonzalez,0,1,3,2019-07-07 17:23:45
Happy Independence Day! pic.twitter.com/6mNq8GfW3s,1146796451932061697,2019-07-04,15:02:35,repgonzalez,4,1,10,2019-07-04 15:02:35
"Cheering for a win for the @USWNT against England and in their fight for #EqualPay. Everyone deserves #EqualPayForEqualWork. ¡Vamos! #FIFAWWC
 https://www.washingtonpost.com/graphics/2019/sports/uswnt-equal-pay-fight/?utm_term=.2e1b2d60b4fb … pic.twitter.com/ejlm8qc1Hz",1146132704561438721,2019-07-02,19:05:05,repgonzalez,1,0,4,2019-07-02 19:05:05
It's unconscionable that the Trump Administration would roll back immigration protections for non-citizen service members & their families. We must enact a bipartisan solution to this problem without delay. https://www.militarytimes.com/news/your-military/2019/06/28/new-trump-policies-could-end-in-deporations-for-some-active-duty-troops/ …,1146078635847237633,2019-07-02,15:30:14,repgonzalez,5,15,28,2019-07-02 15:30:14
"To our Jewish neighbors and friends, happy new year! #RoshHashanah pic.twitter.com/1BPdLnedQh",1178667941417619456,2019-09-30,13:48:30,repgonzalez,2,1,5,2019-09-30 13:48:30
"Today, I’ll be on @CNN Newsroom with @FWhitfield at 2:20 p.m. CT / 3:20 p.m. ET to discuss the impeachment inquiry, whistleblower complaint and other current issues. Be sure to tune in!",1178379461600972800,2019-09-29,18:42:11,repgonzalez,11,3,11,2019-09-29 18:42:11
"Congrats to the hard working students and dedicated faculty that help shape future generations. 

These schools in the #TX15 have proudly earned the prestigious @NatlBlueRibbon Award for high achievement levels among all students. Keep up the good work! pic.twitter.com/UQBU7jdAlu",1177670531803439105,2019-09-27,19:45:09,repgonzalez,2,0,4,2019-09-27 19:45:09
Welcome home Miguel Perez.,1177593064652709901,2019-09-27,14:37:19,repgonzalez,4,1,3,2019-09-27 14:37:19
"This should never happen & that is why the House needs to consider my bipartisan legislation, H.R. 1078, the Repatriate Our Patriots Act to bring our deported military veterans back home.",1177593063344132096,2019-09-27,14:37:19,repgonzalez,3,1,5,2019-09-27 14:37:19
"Following a minor drug charge due to crippling anxiety and lack of care, Miguel Perez – a veteran-was wrongfully deported.",1177593062647828480,2019-09-27,14:37:19,repgonzalez,1,1,1,2019-09-27 14:37:19
"If you served our country, you have every right to be here as an American citizen.

All too often our veterans return from war suffering from PTSD and other traumatic injuries. Lacking the immediate, necessary care they often turn to drugs to cope. https://www.apnews.com/a3a7071389834b5c95f1be12dd0cbdc9 …",1177593061934804992,2019-09-27,14:37:19,repgonzalez,5,6,21,2019-09-27 14:37:19
"ICYMI: On Wednesday, I joined John McArdle on @cspanwj to discuss the whistleblower complaint against President Trump and the impeachment inquiry of the president’s actions. pic.twitter.com/vC6KsiDyMh",1177243504080281600,2019-09-26,15:28:18,repgonzalez,7,2,6,2019-09-26 15:28:18
I support a formal impeachment inquiry. pic.twitter.com/lX6eXSl7en,1177025077680005120,2019-09-26,01:00:21,repgonzalez,281,1153,8218,2019-09-26 01:00:21
